No_cuenta: 2096  Nombre: Euell Carney   Saldo: 14106.51
No_cuenta: 4929  Nombre: Karlan Canario   Saldo: 35494.49
No_cuenta: 6361  Nombre: Christian Houlton   Saldo: 30065.45
No_cuenta: 9470  Nombre: Quinlan Turnell   Saldo: 48972.01
No_cuenta: 3959  Nombre: Rosemonde Champ   Saldo: 36898.15
No_cuenta: 4294  Nombre: Colver Brassington   Saldo: 17468.47
No_cuenta: 5237  Nombre: Ab Kauschke   Saldo: 0.00
No_cuenta: 3974  Nombre: Mariana Casetti   Saldo: 43004.96
No_cuenta: 6941  Nombre: Traci Vasyutkin   Saldo: 3065.04
No_cuenta: 3785  Nombre: Sherrie Beccera   Saldo: 34013.51
No_cuenta: 5167  Nombre: Sarene Wisbey   Saldo: 2402.29
No_cuenta: 7297  Nombre: Ransell Gull   Saldo: 19817.12
No_cuenta: 3576  Nombre: Oralee Suggey   Saldo: 39538.90
No_cuenta: 7190  Nombre: Marline Terbeek   Saldo: 33383.88
No_cuenta: 4120  Nombre: Kaitlyn Pirrey   Saldo: 21693.65
No_cuenta: 8364  Nombre: Steffane Cavaney   Saldo: 9417.79
No_cuenta: 9439  Nombre: Billye Elen   Saldo: 48221.58
No_cuenta: 5972  Nombre: Mirna Twigger   Saldo: 28915.80
No_cuenta: 5006  Nombre: Mathew Beeson   Saldo: -3200.60
No_cuenta: 3158  Nombre: Vittoria Jedrzej   Saldo: 20205.70
No_cuenta: 8997  Nombre: Aguste Beebee   Saldo: 11742.26
No_cuenta: 8567  Nombre: Lianne Minger   Saldo: 32041.31
No_cuenta: 5363  Nombre: Almira Matijevic   Saldo: 37898.05
No_cuenta: 6810  Nombre: Enoch Handrick   Saldo: 23830.56
No_cuenta: 4024  Nombre: Miranda Vaughten   Saldo: 1.00
No_cuenta: 3015  Nombre: Pamella Harston   Saldo: 27205.68
No_cuenta: 5723  Nombre: Marius Plank   Saldo: 44526.73
No_cuenta: 8178  Nombre: Dunstan Bishop   Saldo: 23947.92
No_cuenta: 4972  Nombre: Mel Hammerberger   Saldo: 17956.44
No_cuenta: 9481  Nombre: Mirelle Lovegrove   Saldo: 22503.06
No_cuenta: 9439  Nombre: Bertie Gery   Saldo: 17386.97
No_cuenta: 1648  Nombre: Barbabas McNickle   Saldo: 31571.02
No_cuenta: 7213  Nombre: Antonia Glascott   Saldo: 42767.42
No_cuenta: 7443  Nombre: Jeanna Yarmouth   Saldo: 8721.44
No_cuenta: 8074  Nombre: Jill Pepperrall   Saldo: 39453.67
No_cuenta: 2081  Nombre: Marge Welman   Saldo: 8472.81
No_cuenta: 7184  Nombre: Lira Kersley   Saldo: 38388.75
No_cuenta: 3328  Nombre: Othella Ormesher   Saldo: 44024.79
No_cuenta: 6496  Nombre: D'arcy Griffithe   Saldo: 35861.20
No_cuenta: 9058  Nombre: Misha Sevin   Saldo: 20167.16
No_cuenta: 4483  Nombre: Elna Rogge   Saldo: -4.15
No_cuenta: 2770  Nombre: Caryl Sillars   Saldo: 49665.74
No_cuenta: 1142  Nombre: Anne-marie Sargeant   Saldo: 41692.90
No_cuenta: 7925  Nombre: Kizzee Steed   Saldo: 45221.07
No_cuenta: 7263  Nombre: Gretna Gercke   Saldo: 31759.46
No_cuenta: 3031  Nombre: Frederique Westell   Saldo: 43406.87
No_cuenta: 1565  Nombre: Alasdair Wansbury   Saldo: 2469.59
No_cuenta: 6051  Nombre: Curry Rogister   Saldo: 42744.02
No_cuenta: 5607  Nombre: Zelig Fleisch   Saldo: 27376.74
No_cuenta: 3509  Nombre: Drucie Seligson   Saldo: 36050.73
No_cuenta: 7053  Nombre: Gabriele Rotherforth   Saldo: 49726.05
No_cuenta: 6339  Nombre: Flemming Draycott   Saldo: 9279.18
No_cuenta: 6833  Nombre: Lissa Lennon   Saldo: 4480.31
No_cuenta: 6811  Nombre: Darbee Mylan   Saldo: 33438.74
No_cuenta: 5877  Nombre: Louisette Biddleston   Saldo: 31738.67
No_cuenta: 5877  Nombre: Cchaddie McGillicuddy   Saldo: 46315.32
No_cuenta: 4288  Nombre: Edee Sanday   Saldo: 46955.11
No_cuenta: 1927  Nombre: Cammie Karppi   Saldo: 46881.98
No_cuenta: 2096  Nombre: Cynthy Whitsun   Saldo: 18378.94
No_cuenta: 4499  Nombre: Isa Doveston   Saldo: 26645.52
No_cuenta: 5350  Nombre: Reider Nerger   Saldo: 10138.80
No_cuenta: 9559  Nombre: Verne Berger   Saldo: 44857.59
No_cuenta: 7782  Nombre: Christalle Barbie   Saldo: 17407.31
No_cuenta: 1073  Nombre: Rory Ladyman   Saldo: 10353.74
No_cuenta: 9920  Nombre: Roxy Cullnean   Saldo: 16320.33
No_cuenta: 8692  Nombre: Agosto Haire   Saldo: 14572.77
No_cuenta: 3033  Nombre: Shayla Hare   Saldo: 10854.24
No_cuenta: 7523  Nombre: Sharia Blacket   Saldo: 5093.21
No_cuenta: 6051  Nombre: Jemie Moorman   Saldo: -8.00
No_cuenta: 5349  Nombre: Saunder Watkins   Saldo: 37902.58
